	value	id	patient_id	channel	patient_type	cell_id
115	4.352688172	29	C01	MTCO1	control	C01_29
116	2.107526882	29	C01	NDUFB8	control	C01_29
117	2.245967742	30	C01	VDAC	control	C01_30
118	1.97983871	30	C01	CYB	control	C01_30
119	4.076612903	30	C01	MTCO1	control	C01_30
120	1.875	30	C01	NDUFB8	control	C01_30
121	2.152439024	31	C01	VDAC	control	C01_31
122	2.0	31	C01	CYB	control	C01_31
123	4.115853659	31	C01	MTCO1	control	C01_31
124	2.024390244	31	C01	NDUFB8	control	C01_31
125	2.29020979	32	C01	VDAC	control	C01_32
126	1.98951049	32	C01	CYB	control	C01_32
127	4.776223776	32	C01	MTCO1	control	C01_32
128	2.160839161	32	C01	NDUFB8	control	C01_32
129	3.087719298	33	C01	VDAC	control	C01_33
130	3.642105263	33	C01	CYB	control	C01_33
131	10.56491228	33	C01	MTCO1	control	C01_33
132	4.126315789	33	C01	NDUFB8	control	C01_33
133	2.809090909	34	C01	VDAC	control	C01_34
134	2.986363636	34	C01	CYB	control	C01_34
135	8.290909091	34	C01	MTCO1	control	C01_34
136	3.081818182	34	C01	NDUFB8	control	C01_34
137	2.948220065	35	C01	VDAC	control	C01_35
138	2.330097087	35	C01	CYB	control	C01_35
139	6.003236246	35	C01	MTCO1	control	C01_35
140	2.702265372	35	C01	NDUFB8	control	C01_35
141	3.133802817	36	C01	VDAC	control	C01_36
142	2.190140845	36	C01	CYB	control	C01_36
143	6.429577465	36	C01	MTCO1	control	C01_36
144	2.894366197	36	C01	NDUFB8	control	C01_36
145	2.993079585	37	C01	VDAC	control	C01_37
146	2.982698962	37	C01	CYB	control	C01_37
147	8.339100346	37	C01	MTCO1	control	C01_37
148	3.07266436	37	C01	NDUFB8	control	C01_37
149	2.18490566	38	C01	VDAC	control	C01_38
150	2.075471698	38	C01	CYB	control	C01_38
151	4.237735849	38	C01	MTCO1	control	C01_38
152	1.98490566	38	C01	NDUFB8	control	C01_38
153	2.704545455	39	C01	VDAC	control	C01_39
154	2.454545455	39	C01	CYB	control	C01_39
155	5.87012987	39	C01	MTCO1	control	C01_39
156	2.441558442	39	C01	NDUFB8	control	C01_39
157	3.025316456	40	C01	VDAC	control	C01_40
158	3.088607595	40	C01	CYB	control	C01_40
159	7.759493671	40	C01	MTCO1	control	C01_40
160	3.146835443	40	C01	NDUFB8	control	C01_40
161	2.847826087	41	C01	VDAC	control	C01_41
162	2.52173913	41	C01	CYB	control	C01_41
163	7.604347826	41	C01	MTCO1	control	C01_41
164	3.326086957	41	C01	NDUFB8	control	C01_41
165	2.320754717	42	C01	VDAC	control	C01_42
166	2.547169811	42	C01	CYB	control	C01_42
167	6.389937107	42	C01	MTCO1	control	C01_42
168	2.647798742	42	C01	NDUFB8	control	C01_42
169	2.622895623	43	C01	VDAC	control	C01_43
170	2.508417508	43	C01	CYB	control	C01_43
171	6.747474747	43	C01	MTCO1	control	C01_43
172	2.65993266	43	C01	NDUFB8	control	C01_43
173	1.934343434	44	C01	VDAC	control	C01_44
174	1.681818182	44	C01	CYB	control	C01_44
175	3.611111111	44	C01	MTCO1	control	C01_44
176	1.712121212	44	C01	NDUFB8	control	C01_44
177	2.886363636	45	C01	VDAC	control	C01_45
178	2.738636364	45	C01	CYB	control	C01_45
179	7.689393939	45	C01	MTCO1	control	C01_45
180	3.234848485	45	C01	NDUFB8	control	C01_45
181	2.504918033	46	C01	VDAC	control	C01_46
182	2.544262295	46	C01	CYB	control	C01_46
183	6.337704918	46	C01	MTCO1	control	C01_46
184	2.655737705	46	C01	NDUFB8	control	C01_46
185	1.803636364	47	C01	VDAC	control	C01_47
186	1.64	47	C01	CYB	control	C01_47
187	3.272727273	47	C01	MTCO1	control	C01_47
188	1.76	47	C01	NDUFB8	control	C01_47
189	2.563291139	48	C01	VDAC	control	C01_48
190	2.414556962	48	C01	CYB	control	C01_48
191	5.949367089	48	C01	MTCO1	control	C01_48
192	2.506329114	48	C01	NDUFB8	control	C01_48
193	2.97008547	49	C01	VDAC	control	C01_49
194	2.876068376	49	C01	CYB	control	C01_49
195	8.162393162	49	C01	MTCO1	control	C01_49
196	3.141025641	49	C01	NDUFB8	control	C01_49
197	1.817490494	50	C01	VDAC	control	C01_50
198	1.391634981	50	C01	CYB	control	C01_50
199	3.003802281	50	C01	MTCO1	control	C01_50
200	1.623574144	50	C01	NDUFB8	control	C01_50
201	3.004901961	51	C01	VDAC	control	C01_51
202	2.862745098	51	C01	CYB	control	C01_51
203	8.200980392	51	C01	MTCO1	control	C01_51
204	3.509803922	51	C01	NDUFB8	control	C01_51
205	2.663461538	52	C01	VDAC	control	C01_52
206	2.110576923	52	C01	CYB	control	C01_52
207	5.379807692	52	C01	MTCO1	control	C01_52
208	2.379807692	52	C01	NDUFB8	control	C01_52
209	2.824561404	53	C01	VDAC	control	C01_53
210	3.346491228	53	C01	CYB	control	C01_53
211	8.469298246	53	C01	MTCO1	control	C01_53
212	3.355263158	53	C01	NDUFB8	control	C01_53
213	2.211838006	54	C01	VDAC	control	C01_54
214	2.152647975	54	C01	CYB	control	C01_54
215	4.672897196	54	C01	MTCO1	control	C01_54
216	2.099688474	54	C01	NDUFB8	control	C01_54
217	3.427007299	55	C01	VDAC	control	C01_55
218	2.627737226	55	C01	CYB	control	C01_55
219	8.080291971	55	C01	MTCO1	control	C01_55
220	3.361313869	55	C01	NDUFB8	control	C01_55
221	3.545454545	56	C01	VDAC	control	C01_56
222	2.880165289	56	C01	CYB	control	C01_56
223	8.983471074	56	C01	MTCO1	control	C01_56
224	4.082644628	56	C01	NDUFB8	control	C01_56
225	2.420212766	57	C01	VDAC	control	C01_57
226	2.25	57	C01	CYB	control	C01_57
227	6.340425532	57	C01	MTCO1	control	C01_57
228	2.585106383	57	C01	NDUFB8	control	C01_57
229	2.909090909	58	C01	VDAC	control	C01_58
230	2.559440559	58	C01	CYB	control	C01_58
231	7.314685315	58	C01	MTCO1	control	C01_58
232	2.940559441	58	C01	NDUFB8	control	C01_58
233	2.4	59	C01	VDAC	control	C01_59
234	1.819047619	59	C01	CYB	control	C01_59
235	4.423809524	59	C01	MTCO1	control	C01_59
236	1.980952381	59	C01	NDUFB8	control	C01_59
237	5.039370079	60	C01	VDAC	control	C01_60
238	3.12992126	60	C01	CYB	control	C01_60
239	11.12598425	60	C01	MTCO1	control	C01_60
240	4.437007874	60	C01	NDUFB8	control	C01_60
241	2.138181818	61	C01	VDAC	control	C01_61
242	1.825454545	61	C01	CYB	control	C01_61
243	3.792727273	61	C01	MTCO1	control	C01_61
244	1.84	61	C01	NDUFB8	control	C01_61
245	2.765714286	62	C01	VDAC	control	C01_62
246	2.894285714	62	C01	CYB	control	C01_62
247	7.717142857	62	C01	MTCO1	control	C01_62
248	3.248571429	62	C01	NDUFB8	control	C01_62
249	2.0	63	C01	VDAC	control	C01_63
250	1.797546012	63	C01	CYB	control	C01_63
251	3.411042945	63	C01	MTCO1	control	C01_63
252	1.766871166	63	C01	NDUFB8	control	C01_63
253	2.079245283	64	C01	VDAC	control	C01_64
254	1.909433962	64	C01	CYB	control	C01_64
255	3.811320755	64	C01	MTCO1	control	C01_64
256	1.833962264	64	C01	NDUFB8	control	C01_64
257	2.890070922	65	C01	VDAC	control	C01_65
258	3.333333333	65	C01	CYB	control	C01_65
259	8.631205674	65	C01	MTCO1	control	C01_65
260	3.45035461	65	C01	NDUFB8	control	C01_65
261	1.905325444	66	C01	VDAC	control	C01_66
262	2.047337278	66	C01	CYB	control	C01_66
263	4.00591716	66	C01	MTCO1	control	C01_66
264	2.01183432	66	C01	NDUFB8	control	C01_66
265	2.062240664	67	C01	VDAC	control	C01_67
266	1.751037344	67	C01	CYB	control	C01_67
267	3.605809129	67	C01	MTCO1	control	C01_67
268	1.89626556	67	C01	NDUFB8	control	C01_67
269	2.02166065	68	C01	VDAC	control	C01_68
270	1.711191336	68	C01	CYB	control	C01_68
271	3.664259928	68	C01	MTCO1	control	C01_68
272	1.826714801	68	C01	NDUFB8	control	C01_68
273	3.555160142	69	C01	VDAC	control	C01_69
274	3.021352313	69	C01	CYB	control	C01_69
275	8.637010676	69	C01	MTCO1	control	C01_69
276	3.772241993	69	C01	NDUFB8	control	C01_69
277	2.209183673	70	C01	VDAC	control	C01_70
278	2.091836735	70	C01	CYB	control	C01_70
279	4.051020408	70	C01	MTCO1	control	C01_70
280	1.979591837	70	C01	NDUFB8	control	C01_70
281	2.629213483	71	C01	VDAC	control	C01_71
282	2.535580524	71	C01	CYB	control	C01_71
283	6.677902622	71	C01	MTCO1	control	C01_71
284	2.973782772	71	C01	NDUFB8	control	C01_71
285	3.55952381	72	C01	VDAC	control	C01_72
286	2.889880952	72	C01	CYB	control	C01_72
287	9.125	72	C01	MTCO1	control	C01_72
288	4.482142857	72	C01	NDUFB8	control	C01_72
289	2.79204893	73	C01	VDAC	control	C01_73
290	2.844036697	73	C01	CYB	control	C01_73
291	7.587155963	73	C01	MTCO1	control	C01_73
292	2.877675841	73	C01	NDUFB8	control	C01_73
293	2.422594142	74	C01	VDAC	control	C01_74
294	2.552301255	74	C01	CYB	control	C01_74
295	6.271966527	74	C01	MTCO1	control	C01_74
296	2.510460251	74	C01	NDUFB8	control	C01_74
297	2.20661157	75	C01	VDAC	control	C01_75
298	1.599173554	75	C01	CYB	control	C01_75
299	3.483471074	75	C01	MTCO1	control	C01_75
300	1.681818182	75	C01	NDUFB8	control	C01_75
301	2.30726257	76	C01	VDAC	control	C01_76
302	2.086592179	76	C01	CYB	control	C01_76
303	6.005586592	76	C01	MTCO1	control	C01_76
304	2.611731844	76	C01	NDUFB8	control	C01_76
305	2.743961353	77	C01	VDAC	control	C01_77
306	2.362318841	77	C01	CYB	control	C01_77
307	6.903381643	77	C01	MTCO1	control	C01_77
308	2.787439614	77	C01	NDUFB8	control	C01_77
309	2.592964824	78	C01	VDAC	control	C01_78
310	2.195979899	78	C01	CYB	control	C01_78
311	5.623115578	78	C01	MTCO1	control	C01_78
312	2.271356784	78	C01	NDUFB8	control	C01_78
313	2.375510204	79	C01	VDAC	control	C01_79
314	2.404081633	79	C01	CYB	control	C01_79
315	6.473469388	79	C01	MTCO1	control	C01_79
316	2.844897959	79	C01	NDUFB8	control	C01_79
317	2.116483516	80	C01	VDAC	control	C01_80
318	1.828571429	80	C01	CYB	control	C01_80
319	3.712087912	80	C01	MTCO1	control	C01_80
320	1.859340659	80	C01	NDUFB8	control	C01_80
321	2.34375	81	C01	VDAC	control	C01_81
322	1.6875	81	C01	CYB	control	C01_81
323	4.661458333	81	C01	MTCO1	control	C01_81
324	2.166666667	81	C01	NDUFB8	control	C01_81
325	2.646788991	82	C01	VDAC	control	C01_82
326	2.311926606	82	C01	CYB	control	C01_82
327	6.064220183	82	C01	MTCO1	control	C01_82
328	2.52293578	82	C01	NDUFB8	control	C01_82
329	2.917874396	83	C01	VDAC	control	C01_83
330	2.256038647	83	C01	CYB	control	C01_83
331	6.371980676	83	C01	MTCO1	control	C01_83
332	2.632850242	83	C01	NDUFB8	control	C01_83
333	2.477351916	84	C01	VDAC	control	C01_84
334	2.149825784	84	C01	CYB	control	C01_84
335	5.843205575	84	C01	MTCO1	control	C01_84
336	2.271777003	84	C01	NDUFB8	control	C01_84
337	1.855769231	85	C01	VDAC	control	C01_85
338	1.5625	85	C01	CYB	control	C01_85
339	3.331730769	85	C01	MTCO1	control	C01_85
340	1.697115385	85	C01	NDUFB8	control	C01_85
341	2.512195122	86	C01	VDAC	control	C01_86
342	1.772357724	86	C01	CYB	control	C01_86
343	4.674796748	86	C01	MTCO1	control	C01_86
344	1.756097561	86	C01	NDUFB8	control	C01_86
345	2.324561404	87	C01	VDAC	control	C01_87
346	1.907894737	87	C01	CYB	control	C01_87
347	5.337719298	87	C01	MTCO1	control	C01_87
348	2.425438596	87	C01	NDUFB8	control	C01_87
349	2.5	88	C01	VDAC	control	C01_88
350	2.2125	88	C01	CYB	control	C01_88
351	5.50625	88	C01	MTCO1	control	C01_88
352	2.16875	88	C01	NDUFB8	control	C01_88
353	2.357758621	89	C01	VDAC	control	C01_89
354	1.754310345	89	C01	CYB	control	C01_89
355	4.284482759	89	C01	MTCO1	control	C01_89
356	2.051724138	89	C01	NDUFB8	control	C01_89
357	2.269633508	90	C01	VDAC	control	C01_90
358	2.091623037	90	C01	CYB	control	C01_90
359	4.408376963	90	C01	MTCO1	control	C01_90
360	2.094240838	90	C01	NDUFB8	control	C01_90
361	2.394366197	91	C01	VDAC	control	C01_91
362	1.849765258	91	C01	CYB	control	C01_91
363	4.511737089	91	C01	MTCO1	control	C01_91
364	1.990610329	91	C01	NDUFB8	control	C01_91
365	2.422163588	92	C01	VDAC	control	C01_92
366	2.345646438	92	C01	CYB	control	C01_92
367	5.306068602	92	C01	MTCO1	control	C01_92
368	2.422163588	92	C01	NDUFB8	control	C01_92
369	2.18815331	93	C01	VDAC	control	C01_93
370	1.836236934	93	C01	CYB	control	C01_93
371	3.853658537	93	C01	MTCO1	control	C01_93
372	1.867595819	93	C01	NDUFB8	control	C01_93
373	2.915254237	94	C01	VDAC	control	C01_94
374	2.562146893	94	C01	CYB	control	C01_94
375	6.870056497	94	C01	MTCO1	control	C01_94
376	2.957627119	94	C01	NDUFB8	control	C01_94
377	2.547413793	95	C01	VDAC	control	C01_95
378	2.396551724	95	C01	CYB	control	C01_95
379	5.689655172	95	C01	MTCO1	control	C01_95
380	2.568965517	95	C01	NDUFB8	control	C01_95
381	1.949541284	96	C01	VDAC	control	C01_96
382	1.78440367	96	C01	CYB	control	C01_96
383	3.76146789	96	C01	MTCO1	control	C01_96
384	1.821100917	96	C01	NDUFB8	control	C01_96
385	3.372294372	97	C01	VDAC	control	C01_97
386	2.614718615	97	C01	CYB	control	C01_97
387	7.80952381	97	C01	MTCO1	control	C01_97
388	3.58008658	97	C01	NDUFB8	control	C01_97
389	3.303191489	98	C01	VDAC	control	C01_98
390	2.558510638	98	C01	CYB	control	C01_98
391	7.319148936	98	C01	MTCO1	control	C01_98
392	3.244680851	98	C01	NDUFB8	control	C01_98
393	2.990610329	99	C01	VDAC	control	C01_99
394	2.61971831	99	C01	CYB	control	C01_99
395	7.417840376	99	C01	MTCO1	control	C01_99
396	3.061032864	99	C01	NDUFB8	control	C01_99
397	2.955823293	100	C01	VDAC	control	C01_100
398	2.273092369	100	C01	CYB	control	C01_100
399	6.570281124	100	C01	MTCO1	control	C01_100
400	3.261044177	100	C01	NDUFB8	control	C01_100
401	4.463350785	101	C01	VDAC	control	C01_101
402	3.47382199	101	C01	CYB	control	C01_101
403	10.54973822	101	C01	MTCO1	control	C01_101
404	3.97382199	101	C01	NDUFB8	control	C01_101
405	2.745387454	102	C01	VDAC	control	C01_102
406	2.726937269	102	C01	CYB	control	C01_102
407	6.870848708	102	C01	MTCO1	control	C01_102
408	2.343173432	102	C01	NDUFB8	control	C01_102
409	2.962546816	103	C01	VDAC	control	C01_103
410	2.565543071	103	C01	CYB	control	C01_103
411	6.63670412	103	C01	MTCO1	control	C01_103
412	2.617977528	103	C01	NDUFB8	control	C01_103
413	2.072289157	104	C01	VDAC	control	C01_104
414	1.765060241	104	C01	CYB	control	C01_104
415	3.364457831	104	C01	MTCO1	control	C01_104
416	1.722891566	104	C01	NDUFB8	control	C01_104
417	2.455919395	105	C01	VDAC	control	C01_105
418	2.040302267	105	C01	CYB	control	C01_105
419	5.007556675	105	C01	MTCO1	control	C01_105
420	2.483627204	105	C01	NDUFB8	control	C01_105
421	2.018518519	106	C01	VDAC	control	C01_106
422	1.87654321	106	C01	CYB	control	C01_106
423	3.99382716	106	C01	MTCO1	control	C01_106
424	1.820987654	106	C01	NDUFB8	control	C01_106
425	3.791530945	107	C01	VDAC	control	C01_107
426	3.208469055	107	C01	CYB	control	C01_107
427	10.10423453	107	C01	MTCO1	control	C01_107
428	4.25732899	107	C01	NDUFB8	control	C01_107
429	2.894894895	108	C01	VDAC	control	C01_108
430	2.645645646	108	C01	CYB	control	C01_108
431	7.159159159	108	C01	MTCO1	control	C01_108
432	2.528528529	108	C01	NDUFB8	control	C01_108
433	3.307692308	109	C01	VDAC	control	C01_109
434	3.269230769	109	C01	CYB	control	C01_109
435	9.148351648	109	C01	MTCO1	control	C01_109
436	3.675824176	109	C01	NDUFB8	control	C01_109
437	1.838323353	110	C01	VDAC	control	C01_110
438	1.763473054	110	C01	CYB	control	C01_110
439	3.320359281	110	C01	MTCO1	control	C01_110
440	1.823353293	110	C01	NDUFB8	control	C01_110
441	3.739583333	111	C01	VDAC	control	C01_111
442	3.255208333	111	C01	CYB	control	C01_111
443	10.203125	111	C01	MTCO1	control	C01_111
444	3.760416667	111	C01	NDUFB8	control	C01_111
445	2.827292111	112	C01	VDAC	control	C01_112
446	2.351812367	112	C01	CYB	control	C01_112
447	5.780383795	112	C01	MTCO1	control	C01_112
448	2.245202559	112	C01	NDUFB8	control	C01_112
449	2.048780488	113	C01	VDAC	control	C01_113
450	1.882113821	113	C01	CYB	control	C01_113
451	3.890243902	113	C01	MTCO1	control	C01_113
452	2.020325203	113	C01	NDUFB8	control	C01_113
453	3.792079208	114	C01	VDAC	control	C01_114
454	2.98349835	114	C01	CYB	control	C01_114
455	9.079207921	114	C01	MTCO1	control	C01_114
456	3.831683168	114	C01	NDUFB8	control	C01_114
457	3.12244898	115	C01	VDAC	control	C01_115
458	2.867346939	115	C01	CYB	control	C01_115
459	7.865889213	115	C01	MTCO1	control	C01_115
460	3.459183673	115	C01	NDUFB8	control	C01_115
461	2.236024845	116	C01	VDAC	control	C01_116
462	1.922360248	116	C01	CYB	control	C01_116
463	4.083850932	116	C01	MTCO1	control	C01_116
464	2.304347826	116	C01	NDUFB8	control	C01_116
465	2.414351852	117	C01	VDAC	control	C01_117
466	2.085648148	117	C01	CYB	control	C01_117
467	4.87962963	117	C01	MTCO1	control	C01_117
468	2.226851852	117	C01	NDUFB8	control	C01_117
469	2.526315789	118	C01	VDAC	control	C01_118
470	2.413157895	118	C01	CYB	control	C01_118
471	5.702631579	118	C01	MTCO1	control	C01_118
472	2.363157895	118	C01	NDUFB8	control	C01_118
473	2.382653061	119	C01	VDAC	control	C01_119
474	1.806122449	119	C01	CYB	control	C01_119
475	3.75	119	C01	MTCO1	control	C01_119
476	1.984693878	119	C01	NDUFB8	control	C01_119
477	2.737288136	120	C01	VDAC	control	C01_120
478	2.207627119	120	C01	CYB	control	C01_120
479	5.572033898	120	C01	MTCO1	control	C01_120
480	2.618644068	120	C01	NDUFB8	control	C01_120
481	3.968871595	121	C01	VDAC	control	C01_121
482	3.042801556	121	C01	CYB	control	C01_121
483	8.762645914	121	C01	MTCO1	control	C01_121
484	3.610894942	121	C01	NDUFB8	control	C01_121
485	3.805907173	122	C01	VDAC	control	C01_122
486	2.518987342	122	C01	CYB	control	C01_122
487	8.206751055	122	C01	MTCO1	control	C01_122
488	3.801687764	122	C01	NDUFB8	control	C01_122
489	2.514563107	123	C01	VDAC	control	C01_123
490	2.373786408	123	C01	CYB	control	C01_123
491	5.90776699	123	C01	MTCO1	control	C01_123
492	2.674757282	123	C01	NDUFB8	control	C01_123
493	2.523648649	124	C01	VDAC	control	C01_124
494	2.371621622	124	C01	CYB	control	C01_124
495	5.341216216	124	C01	MTCO1	control	C01_124
496	2.476351351	124	C01	NDUFB8	control	C01_124
497	2.297413793	125	C01	VDAC	control	C01_125
498	1.862068966	125	C01	CYB	control	C01_125
499	4.11637931	125	C01	MTCO1	control	C01_125
500	1.982758621	125	C01	NDUFB8	control	C01_125
501	3.68202765	126	C01	VDAC	control	C01_126
502	2.373271889	126	C01	CYB	control	C01_126
503	7.566820276	126	C01	MTCO1	control	C01_126
504	3.465437788	126	C01	NDUFB8	control	C01_126
505	4.089506173	127	C01	VDAC	control	C01_127
506	3.716049383	127	C01	CYB	control	C01_127
507	9.339506173	127	C01	MTCO1	control	C01_127
508	3.62037037	127	C01	NDUFB8	control	C01_127
509	2.886925795	128	C01	VDAC	control	C01_128
510	2.201413428	128	C01	CYB	control	C01_128
511	6.35335689	128	C01	MTCO1	control	C01_128
512	2.590106007	128	C01	NDUFB8	control	C01_128
513	2.574394464	129	C01	VDAC	control	C01_129
514	2.256055363	129	C01	CYB	control	C01_129
515	5.910034602	129	C01	MTCO1	control	C01_129
516	2.487889273	129	C01	NDUFB8	control	C01_129
517	2.00896861	130	C01	VDAC	control	C01_130
518	1.452914798	130	C01	CYB	control	C01_130
519	2.730941704	130	C01	MTCO1	control	C01_130
520	1.66367713	130	C01	NDUFB8	control	C01_130
521	2.628318584	131	C01	VDAC	control	C01_131
522	2.433628319	131	C01	CYB	control	C01_131
523	5.862831858	131	C01	MTCO1	control	C01_131
524	2.579646018	131	C01	NDUFB8	control	C01_131
525	3.870646766	132	C01	VDAC	control	C01_132
526	2.751243781	132	C01	CYB	control	C01_132
527	8.333333333	132	C01	MTCO1	control	C01_132
528	3.696517413	132	C01	NDUFB8	control	C01_132
529	2.246268657	133	C01	VDAC	control	C01_133
530	1.914179104	133	C01	CYB	control	C01_133
531	4.123134328	133	C01	MTCO1	control	C01_133
532	1.929104478	133	C01	NDUFB8	control	C01_133
533	2.674107143	134	C01	VDAC	control	C01_134
534	2.258928571	134	C01	CYB	control	C01_134
535	4.964285714	134	C01	MTCO1	control	C01_134
536	2.263392857	134	C01	NDUFB8	control	C01_134
537	2.176706827	135	C01	VDAC	control	C01_135
538	1.775100402	135	C01	CYB	control	C01_135
539	3.995983936	135	C01	MTCO1	control	C01_135
540	1.827309237	135	C01	NDUFB8	control	C01_135
541	3.441558442	136	C01	VDAC	control	C01_136
542	3.0	136	C01	CYB	control	C01_136
543	8.207792208	136	C01	MTCO1	control	C01_136
544	3.61038961	136	C01	NDUFB8	control	C01_136
545	1.936936937	137	C01	VDAC	control	C01_137
546	1.585585586	137	C01	CYB	control	C01_137
547	2.981981982	137	C01	MTCO1	control	C01_137
548	1.756756757	137	C01	NDUFB8	control	C01_137
